ticker,company_name,sector,industry,current_price,market_cap,trailing_pe,forward_pe,eps_current_year,forward_eps,earnings_growth_decimal,revenue_growth_decimal,peg_ratio_raw,peg_ratio_fallback,peg_ratio_final,sec_filings_url
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,137.91,63192018944.0,14.640127,,9.42,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,147.97,44147294208.0,23.339117,,6.34,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,511.33,23829153792.0,29.676727,,17.23,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDY
TFX,Teleflex,,Health Care Equipment,180.24,8371012608.0,35.69109,,5.05,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TFX
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,115.79,18857674752.0,34.981873,,3.31,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TER
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,404.6,1301403926528.0,196.40778,,2.06,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSLA
TXN,Texas Instruments,Information Technology,Semiconductors,184.61,168404385792.0,35.43378,,5.21,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN
TXT,Textron,Industrials,Aerospace & Defense,76.51,14193523712.0,17.669746,,4.33,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXT
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,597.75,228639375360.0,36.227272,,16.5,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,124.79,140283920384.0,29.431606,,4.24,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,54.36,29038841856.0,26.64706,,2.04,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSCO
TT,Trane Technologies,Industrials,Building Products,362.75,82430582784.0,32.244446,,11.25,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TT
TDG,TransDigm Group,Industrials,Aerospace & Defense,1353.34,75841175552.0,52.74123,,25.66,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDG
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,245.18,55557787648.0,11.419656,,21.47,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,74.96,18424567808.0,12.535117,,5.98,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRMB
TFC,Truist Financial,Financials,Diversified Banks,47.62,63191261184.0,,,-0.3,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TFC
